IP地址,端口,TLS,数据中心,地区,国际代码,国家,城市,网络延迟,下载速度MB/s
158.180.82.186,443,true,ICN,亚太,KR,韩国,首尔,155 ms,10.12
5.10.245.207,443,true,SJC,北美洲,US,美国,圣何塞,144 ms,10.07
107.173.86.106,443,true,SJC,北美洲,US,美国,圣何塞,146 ms,10.05
5.10.244.201,443,true,SJC,北美洲,US,美国,圣何塞,132 ms,10.00
66.179.48.140,443,true,SJC,北美洲,US,美国,圣何塞,180 ms,10.00
51.81.209.139,443,true,PDX,北美洲,US,美国,波特兰,173 ms,10.00
45.202.113.214,443,true,SJC,北美洲,US,美国,圣何塞,163 ms,10.00
66.179.48.126,443,true,SJC,北美洲,US,美国,圣何塞,174 ms,9.98
5.10.246.167,443,true,SJC,北美洲,US,美国,圣何塞,154 ms,9.93
5.10.245.68,443,true,SJC,北美洲,US,美国,圣何塞,147 ms,9.90
45.202.113.99,443,true,SJC,北美洲,US,美国,圣何塞,143 ms,9.89
66.179.48.102,443,true,SJC,北美洲,US,美国,圣何塞,152 ms,9.88
5.10.246.131,443,true,SJC,北美洲,US,美国,圣何塞,147 ms,9.86
66.179.48.251,443,true,SJC,北美洲,US,美国,圣何塞,151 ms,9.81
5.10.246.173,443,true,SJC,北美洲,US,美国,圣何塞,159 ms,9.79
194.26.229.7,443,true,CPH,欧洲,DK,丹麦,哥本哈根,200 ms,9.79
195.201.231.143,443,true,CDG,欧洲,FR,法国,巴黎,184 ms,9.71
5.10.244.29,443,true,SJC,北美洲,US,美国,圣何塞,165 ms,9.65
5.10.245.180,443,true,SJC,北美洲,US,美国,圣何塞,204 ms,9.60
108.162.194.129,443,true,SJC,北美洲,US,美国,圣何塞,137 ms,9.60
5.10.244.119,443,true,SJC,北美洲,US,美国,圣何塞,152 ms,9.60
5.10.245.62,443,true,SJC,北美洲,US,美国,圣何塞,154 ms,9.59
195.201.37.216,443,true,FRA,欧洲,DE,德国,法兰克福,191 ms,9.57
45.85.93.49,443,true,LYS,欧洲,FR,法国,里昂,186 ms,9.54
5.10.245.43,443,true,SJC,北美洲,US,美国,圣何塞,165 ms,9.46
5.10.246.38,443,true,SJC,北美洲,US,美国,圣何塞,137 ms,9.41
5.10.246.22,443,true,SJC,北美洲,US,美国,圣何塞,156 ms,9.40
5.10.247.12,443,true,SJC,北美洲,US,美国,圣何塞,190 ms,9.37
5.10.245.113,443,true,SJC,北美洲,US,美国,圣何塞,164 ms,9.37
5.10.245.202,443,true,SJC,北美洲,US,美国,圣何塞,164 ms,9.36
45.85.93.51,443,true,LYS,欧洲,FR,法国,里昂,185 ms,9.35
108.162.194.33,443,true,SJC,北美洲,US,美国,圣何塞,159 ms,9.34
5.10.247.246,443,true,SJC,北美洲,US,美国,圣何塞,131 ms,9.29
108.162.194.103,443,true,SJC,北美洲,US,美国,圣何塞,181 ms,9.27
5.10.244.47,443,true,SJC,北美洲,US,美国,圣何塞,133 ms,9.26
108.162.194.123,443,true,SJC,北美洲,US,美国,圣何塞,197 ms,9.25
44.226.147.29,443,true,PDX,北美洲,US,美国,波特兰,179 ms,9.14
45.202.113.168,443,true,SJC,北美洲,US,美国,圣何塞,138 ms,9.12
103.113.69.46,443,true,VNO,欧洲,LT,立陶宛,维尔纽斯,197 ms,9.11
